,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,in,,,,,,,1,1
464,12.414,411.16931,"(ﬂS,4S)-ﬂ,2,2-trimethyl-1,3-dioxolane-4-ethanol p-toluenesulfonate",,,,138.03117,,,C15 H22 O5 S,,,,,,,,,,,,,,,,,,,,,0.665,41.2,501,2166,,,,13581,19015,19413,39595,18090,67899,,,,,,,85838,129672,,127071,48194,94140,29920,70163,,,,,,
465,12.442,199.16981,"(1R,2S,2S)-(-)-N-[1-tert-Butyl-2-(tert-butyldimethylsiloxy)-4-[1,3]dioxolan-2-ylbutyl]-N-(2-methoxymethylpyrrolidin-1-yl)amine",,,,230.10899,,,C23 H48 N2 O4 Si,,,,,,,,,,,,,,,,,,,,,0.939,98.1,734,2169,,,,29624,15703,14674,19154,30373,36440,,,4490,30732,12801,43240,11210,20881,33159,40385,6962,51359,52859,8461,,,,,,
466,12.486,220.12518,"2,3,5-Trimethyl-phenanthrene",,,,205.10117,,,C17 H16,,,,,,,,,,,,,,,,,,,,,0.959,97.1,850,2176,,,,,30635,129929,65408,,300408,,3418,4003,368780,28647,613901,17402,99981,236251,749436,48315,827702,772664,24059,,,,,,
467,12.498,239.10568,Dodecanamide,,,,128.10701,,,C12 H25 N O,,,,,,,,,,,,,,,,,,,,,0.843,85.5,502,2177,,,,64327,117854,29005,251266,34335,26861,,,,129709,73620,191600,95823,132953,106329,54977,484240,37253,44850,16437,,,,,,
468,12.511,363.1477,Peak@12.511,,,,60.03074,,,,,,,,,,,,,,,,,,,,,,,,0,,,2180,,,,,,,68470,26322,86875,,278,,3389,3148,,187405,137004,108550,,,1068,31055,17092,,,,,,
469,12.522,277.11117,"15,16-Dihydro-3-hydroxycyclopenta[a]phenanthren-17-one Methoxime",,,,57.0335,,,C18 H15 N O2,,,,,,,,,,,,,,,,,,,,,0.69,47.1,510,2181,,,,,1722734,29837,1472023,513850,756898,22636,25972,67994,101455,,,3109055,3096241,3056013,39281,38728,94755,585541,600034,,,,,,
470,12.523,279.05386,Peak@12.523,,,,57.03349,,,,,,,,,,,,,,,,,,,,,,,,0,,,2182,,,,,1722734,29837,1472023,513850,756898,22636,25972,67994,,,,3109055,3096241,3056013,39281,38728,94755,,600034,,,,,,
471,12.527,279.10785,"2-Amino-4-(2-cyclohexyl-ethyl)-7-methyl-5-oxo-4H,5H-pyrano[4,3-b]pyran-3-carbonitrile",,,,94.07767,,,C18 H22 N2 O3,,,,,,,,,,,,,,,,,,,,,0.56,13.1,538,2182,,,,,628414,112705,556826,146764,278889,147409,158158,250002,,,,919803,925446,930820,77170,101809,59227,234600,207823,,,,,,
472,12.533,514.19165,Peak@12.529,,,,208.03198,,,,,,,,,,,,,,,,,,,,,,,,0,,,2182,,,,,12803609,68443,10868292,4713222,6346161,270571,96775,96659,128234,99587,125356,22490302,23011785,23359347,39026,66521,73469,4736510,5087463,,,,,,
473,12.538,411.13299,"5-Carboxymellein, 2TMS",,,,282.05051,,,C17 H26 O5 Si2,,,,,,,,,,,,,,,,,,,,,0.796,67.6,628,2184,9,,,,,,825177,345807,449933,27723,4916,16518,39026,,29961,1993731,1903591,1650033,,,,386580,357851,,,,,,
474,12.542,310.34738,"N,N-dimethyl-2-decanamine",,,,44.04948,,,C12 H27 N,,,,,,,,,,,,,,,,,,,,,0.932,96,737,2184,,,,123483,409688,265577,13686097,,,468655,867431,996652,,232437,169744,67159,72000,93681,224943,401105,3194499,250194,257123,,,,,,
475,12.579,294.27963,"Octadecane, 1-isocyanato-",,,,112.07567,,,C19 H37 N O,,,,,,,,,,,,,,,,,,,,,0.957,99.7,791,2190,,,,14319291,40938737,23492051,8490857,23825981,10340748,47753846,79946856,91068969,5610481,10723779,6541354,5569135,6518068,9124720,24245987,38969928,25513980,15461111,20972081,,,,,,
476,12.607,367.10687,"Allopurinol, bis(tert-butyldimethylsilyl) deriv.",,,,293.08755,,,C17 H32 N4 O Si2,,,,,,,,,,,,,,,,,,,,,0.847,77.2,689,2194,,,,47872,46883,136588,3908748,603007,751743,,,,44873,6204,2249,31351,235795,,65845,15648,104352,2520500,3023128,,,,,,
477,12.623,83.08602,"tert-Butyl(((S)-1-((2S,4S,6S,8S,10R)-8-((R)-(methoxymethoxy)(2-methyl-1,3-dioxolan-2-yl)methyl)-4,10-dimethyl-1,7-dioxaspiro[5.5]undecan-2-yl)-2-methylallyl)oxy)dimethylsilane",,,,71.0855,,,C28 H52 O7 Si,,,,,,,,,,,,,,,,,,,,,0.894,92.2,627,2197,,,,31488748,1871404,844351,,5480932,10335980,3400416,1841680,5891020,14224222,11752871,48377451,60671137,3876453,28873940,1972030,2911484,3609883,834894,,,,,,,
478,12.629,153.16428,Nonacos-1-ene,,,,56.06203,,,C29 H58,,,,,,,,,,,,,,,,,,,,,0.973,99.7,870,2197,688,,,11668022,1880063,1166802,1304278,2472208,918775,3940164,4981233,5594340,1326241,1250694,18080862,24641714,1365354,10675566,1823763,686053,1676458,1847331,1150752,,,,,,
479,12.64,442.9415,"2-Phenyl-3-[(3-(trifluoromethyl)phenyl]selanyl)thieno[2,3-b]pyridine",,,,192.98032,,,C20 H12 F3 N S Se,,,,,,,,,,,,,,,,,,,,,0.525,2.9,565,2199,,,,440619,470646,784780,1401961,732055,980970,90915,19355,16851,335716,294851,323836,612906,2331696,,446274,509490,767969,457105,1314757,,,,,,
480,12.645,534.9707,"Cyclodecasiloxane, eicosamethyl-",,,,429.08871,,,C20 H60 O10 Si10,,,,,,,,,,,,,,,,,,,,,0.927,96.4,705,2199,164,,,106853799,88611230,195071502,397292774,172206019,257012926,152056,191054,156957,112538623,108790271,110959353,115543391,736635448,575517567,128497440,137524177,172615962,72542899,259953120,,,,,,
481,12.654,592.95831,(+) Tubocurarine,,,,593.95752,,,C37 H42 Cl2 N2 O6,,,,,,,,,,,,,,,,,,,,,0.87,88.8,575,2201,,,,743150,471611,1164879,2114446,1063956,1606207,,,,789249,717287,649472,735965,3570929,3323250,717357,799020,1141794,437372,1404759,,,,,,
482,12.681,204.06383,Peak@12.677,,,,157.1012,,,,,,,,,,,,,,,,,,,,,,,,0,,,2204,,,,57421,60697,76665,80171,35487,95268,19605,18797,28655,128049,,139690,82916,85936,85171,90037,52767,98534,106323,67420,,,,,,
483,12.685,149.09665,"Benzoic acid, cyclohexyl ester",,,,105.03345,,,C13 H16 O2,,,,,,,,,,,,,,,,,,,,,0.848,86.5,509,2206,,,,139050,53320,39762,,,420588,5496,6230,14540,622101,257452,715174,801306,738403,676419,394926,190338,255199,109654,130783,,,,,,
484,12.688,204.06381,Peak@12.693,,,,191.17944,,,,,,,,,,,,,,,,,,,,,,,,0,,,2207,,,,63109,54386,82679,126261,39669,56215,11256,13915,34000,66475,74815,65232,86437,74597,81145,50499,52800,61318,66801,70740,,,,,,
485,12.694,171.1174,benzoic acid decyl ester,,,,105.03347,,,C17 H26 O2,,,,,,,,,,,,,,,,,,,,,0.912,90.7,743,2207,,,,139050,53320,39762,,,420588,8365,6230,14540,622101,257452,715174,801306,738403,676419,394926,190338,255199,109654,130783,,,,,,
486,12.707,394.51764,Peak@12.707,,,,132.05551,,,,,,,,,,,,,,,,,,,,,,,,0,,,2209,,,,789271,274100,34052,236032,71638,612559,,,,9970025,5507982,1900235,525142,490654,342123,8444,6503,8129,273107,140162,,,,,,
487,12.712,374.49466,Peak@12.716,,,,61.01042,,,,,,,,,,,,,,,,,,,,,,,,0,,,2210,,,,22786,,772405,210463,,,19825,4872,3186,711785,408493,158165,150903,182651,146641,,563672,617689,89330,89198,,,,,,
488,12.72,339.27188,Peak@12.720,,,,185.09927,,,,,,,,,,,,,,,,,,,,,,,,0,,,2211,,,,13303,6147,,10212,1720,36526,,,,746873,415018,163843,48760,25276,25068,1097,692,,11229,6424,,,,,,
490,12.723,337.15069,"2-[3-(2H-1,2,3-Benzotriazol-2-yl)-4-hydroxyphenyl]ethyl 2-methylacrylate",,,,179.07301,,,C18 H17 N3 O3,,,,,,,,,,,,,,,,,,,,,0.882,88.1,647,2211,535,,,3184,21236,28666,35325,10490,24306,,,,1960,3225,2682,61118,68297,70327,7398,1337,2187,51463,30353,,,,,,
489,12.725,273.22189,Peak@12.721,,,,187.14816,,,,,,,,,,,,,,,,,,,,,,,,0,,,2211,,,,15275,13607,38834,47411,29439,20664,11993,12457,17279,34937,47407,52893,32210,9306,50920,48803,,50896,58607,25511,,,,,,
491,12.764,557.20923,"1,3,5,7,9,11-hexasiloxane, 1,1,3,3,5,5,7,7,9,9,11,11-dodecamethyl-1,11-di(tert.butyl)-",,,,71.04916,,,C20 H54 O5 Si6,,,,,,,,,,,,,,,,,,,,,0.792,70.3,553,2218,,,,,1796973,,6292726,949409,1678416,,5628,3311,2000625,1713978,2324356,5402819,5215998,5264484,26834,14794,,2642317,2925226,,,,,,
492,12.77,341.01849,"2-[(Benzo[1,3]-dioxol-5'-yl)methyl]-3-(N,N-dimethylamino)-2-methylbutane-1,4-diol",,,,44.05759,,,C15 H23 N O4,,,,,,,,,,,,,,,,,,,,,0.85,87.2,507,2219,,,,5633,120821,1975,418747,,88161,,,8567,,370010,273244,349627,325376,332663,28124,,,210963,203281,,,,,,
493,12.771,130.08685,"Sarcosine, N-(3-cyclopentylpropionyl)-, propyl ester",,,,71.03659,,,C14 H25 N O3,,,,,,,,,,,,,,,,,,,,,0.905,98,565,2219,228,,,,,797,14951,,79208,698,1357,433,28914,,131718,3247,3215,494398,905,,495,105408,138672,,,,,,
494,12.776,297.17279,Ibuprofen piconol,,,,161.13245,,,C19 H23 N O2,,,,,,,,,,,,,,,,,,,,,0.97,99.9,851,2220,13,,,32584561,57071,19409,,5448090,3179538,15861,7507,,878799,152350,57843724,8353165,303910,258497,60771,,,61451,31497,,,,,,
495,12.788,210.12561,"Fumaric acid, 2-ethylbutyl 2-ethylhexyl ester",,,,85.02837,,,C18 H32 O4,,,,,,,,,,,,,,,,,,,,,0.952,100,760,2222,153,,,6928,31195,25134,25060,23708,362787,,858,898,308332,14838,60565,40006,33964,35227,1164334,7503,12896,2004208,12805,,,,,,
496,12.795,253.19571,"3,4-Dihydroxy-3-methoxy-5-[(2-benzo[d]thiazolyl)thiomethyl]-a-carboxamidocinnamonitrile",,,,63.02295,,,C18 H13 N3 O3 S2,,,,,,,,,,,,,,,,,,,,,0.88,88.7,626,2223,,,,790695,31014,40504,44094,158858,103382,20882,1288,6674,17206,,1312836,202592,139313,99695,,6486,58667,,56465,,,,,,
497,12.799,199.16991,"Octanoic acid, 3-tridecyl ester",,,,155.1067,,,C21 H42 O2,,,,,,,,,,,,,,,,,,,,,0.9,99.5,507,2223,,,,15723,5983,,,,233211,,,,1793781,,1585443,,6465,9175,13214,5635,8117,14205,,,,,,,
498,12.81,717.30115,"1,3,5-Trisiloxane, 1,1,3,3,5,5-hexamethyl-1,5-di(tert.butyl)-",,,,222.08405,,,C14 H36 O2 Si3,,,,,,,,,,,,,,,,,,,,,0.746,59.8,533,2225,,,,35304,247196,,1842387,309444,885954,1251,1307,,10566,,,370811,445544,323781,18818,,,2111272,2030773,,,,,,
499,12.816,284.28277,N-(3-Dimethylaminopropyl)-octadecanamide,,,,42.03384,,,C23 H48 N2 O,,,,,,,,,,,,,,,,,,,,,0.945,99.4,735,2226,621,,,70844,10244,7169,35578,62147,925639,6184,2456,4850,636452,24224215,14069103,28292,18101,175172,,4184,35104,51736,62130,,,,,,
500,12.819,325.13211,trans-1-phenylsulfonyl-2-(phenylthio) cyclopropane,,,,210.2218,,,C15 H14 O2 S2,,,,,,,,,,,,,,,,,,,,,0.676,41.4,549,2226,,,,84898,94244,,77186,49696,45166,,10643,15310,60578,240885,326885,60536,39847,43125,37223,,43907,,61063,,,,,,
501,12.82,144.1263,"Urea, triethyl-",,,,56.04951,,,C7 H16 N2 O,,,,,,,,,,,,,,,,,,,,,0.858,87.3,546,2227,,,,94360,61176,15571,63971,43582,982800,78014,105291,59835,,29643101,17170350,33841,33373,30211,10980,19320,33059,,19076,,,,,,
502,12.825,411.16934,"Benzoic acid, 4-methyl-2-trimethylsilyloxy-, TMS",,,,261.1485,,,C14 H24 O3 Si2,,,,,,,,,,,,,,,,,,,,,0.668,41.8,504,2228,,,,43129,,19881,75067,43705,30298,,4211,5027,27840,,1895,64149,,30504,41883,,12488,11843,15426,,,,,,
503,12.886,356.311,"Stearic acid, TMS derivative",,,,135.04726,,,C21 H44 O2 Si,,,,,,,,,,,,,,,,,,,,,0.879,87.4,647,2237,6,,,306329,205126,31473,80014,30994,201418,,,,3477828,2307225,657255,147179,169199,106100,9899,751,511,68564,36562,,,,,,
504,12.901,234.14085,Retene,,,,204.09329,,,C18 H18,,,,,,,,,,,,,,,,,,,,,0.947,94.4,847,2239,22,,,151435,61813,286532,126981,124242,591323,8045,11708,10719,756503,42930,1336437,32183,184917,595039,930833,77756,1209962,1725279,74553,,,,,,
505,12.912,185.08137,Tributyl acetylcitrate,,,,185.08083,,,C20 H34 O8,,,,,,,,,,,,,,,,,,,,,0.657,38.9,508,2241,9,,,434501,525190,482421,1917861,402752,725192,,7433,41568,883557,1562626,784476,709432,748668,1179254,490253,239115,540339,1420914,700436,,,,,,
506,12.929,251.10585,"3H-pyrazol-3-one, 2,4-dihydro-2-phenyl-5-(phenylamino)-",,,,208.07512,,,C15 H13 N3 O,,,,,,,,,,,,,,,,,,,,,0.898,98.3,524,2243,,,,1445,22208,11267,21277,11944,,,,,,1431,2419,23728,29627,19126,3659,1542,1145,4590,1687,,,,,,
507,12.953,555.1936,Peak@12.949,,,,185.09923,,,,,,,,,,,,,,,,,,,,,,,,0,,,2247,,,,,8296,6094,33529,3113,15438,,,,,1598515,471833,40076,,20556,1852,710,,39491,39099,,,,,,
508,12.976,294.27963,"Cyclopropanecarboxamide, N-octadecyl-",,,,85.02839,,,C22 H43 N O,,,,,,,,,,,,,,,,,,,,,0.874,88.6,595,2251,,,,33739,,29047,267985,169562,192217,1112,,2372,,,130144,135947,591751,560458,50130,,32342,120193,83729,,,,,,
509,12.985,155.09466,"Ethylamine, 2-((p-bromo-a-methyl-a-phenylbenzyl)oxy)-N,N-dimethyl-",,,,45.0573,,,C18 H22 Br N O,,,,,,,,,,,,,,,,,,,,,0.939,97.1,753,2252,,,,151704,647293,40709,271030,150061,79938,823,440,6721,149451,157273,143732,186818,99190,63956,75280,14894,89769,43267,35705,,,,,,
510,12.992,100.07616,"N,N-dimethyldecanacetamide",,,,45.0573,,,C14 H29 N O,,,,,,,,,,,,,,,,,,,,,0.96,99,821,2253,,,,151704,647293,40709,271030,150061,79938,1896,440,6721,149451,157273,143732,186818,99190,63956,75280,14894,89769,43267,35705,,,,,,
511,13.07,158.11821,"Dodecane, 1-isocyanato-",,,,70.06513,,,C13 H25 N O,,,,,,,,,,,,,,,,,,,,,0.898,88.7,714,2264,,,,222895,27058,45117,18528,53471,450161,211077,278138,128247,494499,3666010,3147022,126632,169424,48083,42756,49207,71009,13896,40202,,,,,,
512,13.076,532.99158,"1,1,1,3,3,5,5,7,7,9,9,11,11,13,13,15,15,17,17,19,19,19-docosamethyldecasiloxane",,,,149.04492,,,C22 H66 O9 Si10,,,,,,,,,,,,,,,,,,,,,0.924,98.3,652,2267,,,,387683,1568821,1444188,2716617,,2668962,,,,1167225,1274010,1145856,8140395,10073193,9126894,1027418,1001384,1349178,5269917,11075525,,,,,,
513,13.08,503.10803,Peak@13.080,,,,311.09811,,,,,,,,,,,,,,,,,,,,,,,,0,,,2267,,,,179854,685705,447329,1681147,138462,419157,,2295,9923,617020,633051,644752,1328424,2902544,2382038,272398,227675,361852,676876,1724820,,,,,,
514,13.082,429.08923,Peak@13.082,,,,164.06017,,,,,,,,,,,,,,,,,,,,,,,,0,,,2268,,,,,218398,138771,575290,49037,130984,576,386,2755,181468,228594,219897,415447,987331,780293,86019,64522,122277,210565,579252,,,,,,
515,13.086,237.07985,(4-methylphenyl) 4-cyanobenzoate,,,,238.07895,,,C15 H11 N O2,,,,,,,,,,,,,,,,,,,,,0.786,60.4,721,2268,,,,107031,385209,242558,959074,88689,267434,,862,5530,374297,415558,415028,845013,1938931,1558200,173449,146349,222766,433052,1097768,,,,,,
516,13.086,281.0517,Peak@13.086,,,,341.01794,,,,,,,,,,,,,,,,,,,,,,,,0,,,2268,,,,189254,194804,120996,695991,,239662,,,,312878,408415,381161,1658771,2884157,1962200,84163,,150767,777035,2012429,,,,,,
517,13.103,343.23035,"3,7,11,14,18-Pentaoxa-2,19-disilaeicosane, 2,2,19,19-tetramethyl-",,,,130.04439,,,C17 H40 O5 Si2,,,,,,,,,,,,,,,,,,,,,0.892,97.8,506,2271,,,,114681087,44387,14818,19060,1445107,1749974,,,8794,55789233,64143212,52416708,136238,84791,41099,17675,14406,41605,16828,15433,,,,,,
518,13.111,239.23752,Peak@13.111,,,,114.06757,,,,,,,,,,,,,,,,,,,,,,,,0,,,2272,,,,78076,371083,34055,681613,118183,140324,,607,523,100632,98934,108205,136740,751461,678633,21754,13515,39848,59973,195152,,,,,,
519,13.112,239.23753,"2-Propenoic acid, 3-(4-methoxyphenyl)-, 2-ethylhexyl ester",,,,127.07536,,,C18 H26 O3,,,,,,,,,,,,,,,,,,,,,0.917,96.1,663,2272,33,,,92412,387960,44325,676143,,177623,1041,26919,8232,179127,170477,184153,135716,758651,709535,28425,13271,39048,58604,202163,,,,,,
520,13.129,365.16351,1-(2-Aminophenyl)-4-(4-methylphenyl)-2(1H)-pyrimidinethione,,,,183.17448,,,C17 H15 N3 S,,,,,,,,,,,,,,,,,,,,,0.512,1.1,539,2276,,,,1221,602,516,4348,1341,7985,,,,20176,6135,9243,,,27233,1794,287,1838,,,,,,,,
521,13.177,460.96933,"Octasiloxane, 1,1,3,3,5,5,7,7,9,9,11,11,13,13,15,15-hexadecamethyl-",,,,181.07114,,,C16 H50 O7 Si8,,,,,,,,,,,,,,,,,,,,,0.895,98.4,508,2282,,,,7583,4928262,124368,12876411,2720221,5684985,,591,11963,2355,4378,3330,17088740,16807764,15084634,29932,20777,27559,8017053,8557464,,,,,,
522,13.181,504.10809,"Cyclononasiloxane, octadecamethyl-",,,,266.02341,,,C18 H54 O9 Si9,,,,,,,,,,,,,,,,,,,,,0.918,99.3,602,2283,593,,,3550,156746,936,671571,67197,206297,,,401,2077,,1838,,894021,816221,547,,1693,297549,385980,,,,,,
523,13.182,575.20184,"(E)-5,5'-(Diazene-1,2-diyl)bis(2-hydroxybenzoic acid), tetrakis-O-TMS",,,,533.15485,,,C26 H42 N2 O6 Si4,,,,,,,,,,,,,,,,,,,,,0.923,100,612,2283,932,,,,466784,,1594509,179698,583290,,,,,,,1995422,1829862,1807993,,,,835370,1007646,,,,,,
524,13.184,533.15497,Peak@13.184,,,,475.00351,,,,,,,,,,,,,,,,,,,,,,,,0,,,2283,,,,,930848,,3017556,419903,1232572,,,,25349,19280,26766,5578860,5999216,5233858,,,,2165445,2722803,,,,,,
525,13.19,797.25757,Peak@13.195,,,,357.0733,,,,,,,,,,,,,,,,,,,,,,,,0,,,2285,,,,,127934,,325641,,179867,,,,4841,3338,4984,1250633,1268566,1403217,,,,473981,631015,,,,,,
526,13.216,343.23035,"1,4-Dioxane-2,5-diol, 2TBDMS derivative",,,,84.05696,,,C16 H36 O4 Si2,,,,,,,,,,,,,,,,,,,,,0.899,99,517,2288,,,,8330796,473711,40908,423127,348558,584385,1535,5160,7254,3812250,3360043,3365691,58808,612661,276511,74267,31302,85351,,139651,,,,,,
527,13.226,284.21399,"1-Phenanthrenecarboxaldehyde, 1,2,3,4,4a,9,10,10a-octahydro-1,4a-dimethyl-7-(1-methylethyl)-, [1R-(1a,4aﬂ,10aa)]-",,,,209.13245,,,C20 H28 O,,,,,,,,,,,,,,,,,,,,,0.955,98.1,814,2290,27,,,59761,45241,56263,59069,37766,165201,2324,4130,4370,236349,41874,272940,18268,78165,153246,446734,33615,445601,314630,29826,,,,,,
528,13.252,210.12828,"p-Tolylsulfonamide, N-(2'-benzoylphenyl)-N-methyl-",,,,194.09641,,,C21 H19 N O3 S,,,,,,,,,,,,,,,,,,,,,0.921,95.9,685,2293,,,,28729,7171,28958,12777,12255,75388,,,275,120941,6320,166126,4105,17611,67488,198102,12398,235992,212343,3519,,,,,,
530,13.269,272.15649,(1-benzyl-2-phenyl-ethyl)benzene,,,,215.08553,,,C21 H20,,,,,,,,,,,,,,,,,,,,,0.747,57.2,588,2297,,,,63603,6582,91764,,42749,162869,2777,5127,4530,234461,35015,340509,13896,,164685,418043,,512516,522194,,,,,,,
529,13.273,214.07385,"Octadecane, 1-isocyanato-",,,,99.11678,,,C19 H37 N O,,,,,,,,,,,,,,,,,,,,,0.927,98.6,661,2297,,,,440053,11257,,,56538,136294,51058,26218,12935,910551,359051,238412,79059,19791,86763,191345,125880,245591,137474,43114,,,,,,
531,13.273,471.13635,"Octasiloxane, 1,1,3,3,5,5,7,7,9,9,11,11,13,13,15,15-hexadecamethyl-",,,,135.04684,,,C16 H50 O7 Si8,,,,,,,,,,,,,,,,,,,,,0.91,98.2,587,2297,,,,293647,102229,3446,1800948,174004,943301,,,,105091,111518,132100,3255604,3673601,2499668,,594,695,1355628,1615045,,,,,,
532,13.28,429.08926,1-[(4-n-Hexylphenyl)ethynyl]-4-(phenylethynyl)-2-(trifluoromethyl)-benzene,,,,129.06992,,,C29 H25 F3,,,,,,,,,,,,,,,,,,,,,0.696,47,539,2298,,,,53636,64752,46272,39206,46187,,,2559,3821,85596,120910,131667,50194,191521,,383894,29283,410706,328528,15324,,,,,,
534,13.31,226.0564,2-(2-amino) phenylbenzothiazole,,,,96.00278,,,C13 H10 N2 S,,,,,,,,,,,,,,,,,,,,,0.932,92.8,804,2304,,,,8822,,18001,2211,2547,27390,,,,49695,,54541,,5490,59673,93425,3901,95962,141231,574,,,,,,
533,13.311,269.39252,"Tetradecanoic acid, 2-hydroxy-1-(hydroxymethyl)ethyl ester",,,,56.06206,,,C17 H34 O4,,,,,,,,,,,,,,,,,,,,,0.951,98.9,776,2303,1,,,2364810,631727,,595757,231741,2722875,131371,74060,73044,1210656,1687715,977023,8003235,1098477,10139292,278965,227207,291379,964217,44254,,,,,,
536,13.317,185.1178,"6-(1-isopropenyl-2-methyl-prop-2-enylidene)-3,3-dimethyl-cyclohexa-1,4-diene",,,,143.0703,,,C15 H20,,,,,,,,,,,,,,,,,,,,,0.626,30.6,516,2304,,,,1354640,,4846,5423,3387,7485,,,,528507,675336,590037,24606,3729,9281,11598,4757,17293,3528,9686,,,,,,
535,13.317,225.04869,Peak@13.317,,,,129.05464,,,,,,,,,,,,,,,,,,,,,,,,0,,,2304,,,,11592884,,38456,99080,15771,41194,229,503,,4797086,6598761,5404042,77064,52682,61049,90587,,102491,82224,,,,,,,
538,13.324,270.1983,"trans, cis-2,6-bis(4-acetonitrilephenyl)-3-methyl-1-phenylpiperidin-4-one",,,,213.0699,,,C26 H21 N3 O,,,,,,,,,,,,,,,,,,,,,0.865,91.1,504,2306,,,,12105,3090,27001,5838,14487,54101,246,1641,1448,53171,1327,87072,1011,11410,48373,118079,9227,127703,125710,5275,,,,,,
537,13.325,299.07855,Peak@13.325,,,,106.53461,,,,,,,,,,,,,,,,,,,,,,,,0,,,2306,,,,3613,1843,13390,1492,5960,28570,370,411,653,23892,,47136,,5479,21354,57251,4700,69798,67167,1201,,,,,,
539,13.363,503.10803,"Octasiloxane, 1,1,3,3,5,5,7,7,9,9,11,11,13,13,15,15-hexadecamethyl-",,,,105.03348,,,C16 H50 O7 Si8,,,,,,,,,,,,,,,,,,,,,0.881,91,583,2312,,,,270607,,40551,,,287178,,,,499943,257903,416093,601823,365017,503938,385695,172119,255034,68590,135117,,,,,,
540,13.367,399.11401,Peak@13.367,,,,312.95026,,,,,,,,,,,,,,,,,,,,,,,,0,,,2313,,,,,,,166944,10444,38406,,,,,,,12286,,9904,,,1373,,203863,,,,,,
541,13.375,281.21442,"4,4'-Di-tert-butyl-diphenylamine",,,,232.1246,,,C20 H27 N,,,,,,,,,,,,,,,,,,,,,0.887,83.2,772,2314,,,,19698,6122,29762,27517,16702,36263,,,,65631,,112905,,9770,55499,126162,19206,148151,167370,9584,,,,,,
542,13.403,241.19565,Peak@13.399,,,,100.05185,,,,,,,,,,,,,,,,,,,,,,,,0,,,2318,,,,122550,204879,19061,207094,106748,70398,,247,330,143369,73741,111155,39541,291594,188022,17292,10196,22216,17509,57157,,,,,,
543,13.41,220.21907,"9-Octadecenoic acid, (E)-",,,,151.11174,,,C18 H34 O2,,,,,,,,,,,,,,,,,,,,,0.956,99.8,781,2319,,,,74551,230964,19921,230511,78343,71387,2067,4816,2412,124799,52756,91254,42425,288045,234163,9771,9196,18246,6107,44792,,,,,,
544,13.411,135.11743,1-(3-octyl-2-oxiranyl)ethanone,,,,123.08047,,,C12 H22 O2,,,,,,,,,,,,,,,,,,,,,0.924,99.8,623,2320,,,,145480,367098,28726,321962,124010,88170,2321,1004,4272,200659,105439,97846,79453,461219,315439,22821,14902,,16524,90116,,,,,,
545,13.423,68.06263,"Oxalic acid (E)-3,7-dimethyl-octa-2,6-dienyl-ester-methyl-ester",,,,68.06208,,,C13 H20 O4,,,,,,,,,,,,,,,,,,,,,0.912,96.4,631,2322,,,,333142,663075,,635491,204653,1307252,,,,1112796,581489,1121893,3193167,942987,4546017,,,,440234,1249539,,,,,,
546,13.438,290.18805,"2-Propenoic acid, 3-(4-methoxyphenyl)-, 2-ethylhexyl ester",,,,178.06216,,,C18 H26 O3,,,,,,,,,,,,,,,,,,,,,0.975,99.6,881,2324,85,,,2975386,2698751,946310,13447908,2773281,712149316,,4362,13149,605780348,289828188,650406735,2114441135,108048179,2982164364,1328774,74273,248930,265750210,690675961,,,,,,
547,13.453,116.0626,"(5aR,11bS,11cS)-8,9,10-trimethoxy-1-methyl-2,3,5,5a,11b,11c-hexahydroisochromeno[3,4-g]indol-7-one",,,,111.08046,,,C19 H23 N O5,,,,,,,,,,,,,,,,,,,,,0.889,88,686,2327,,,,,177184,14952,135535,58828,,4063,3307,,158685,,,,219525,48428,123233,,142576,270472,31594,,,,,,
548,13.464,257.03342,Peak@13.468,,,,288.00641,,,,,,,,,,,,,,,,,,,,,,,,0,,,2329,,,,104170,48356,148381,305231,118300,,752,,591,49808,112729,96191,69221,1456912,326882,93438,179699,241980,79329,259298,,,,,,
549,13.485,429.08926,"Cyclononasiloxane, octadecamethyl-",,,,221.08432,,,C18 H54 O9 Si9,,,,,,,,,,,,,,,,,,,,,0.934,98.7,694,2332,642,,,53902981,36725782,140561812,210594342,93280359,149249531,22430,49041,43750,60775175,58913145,58398749,66290852,426179269,295647893,93803135,104588683,128837790,51001427,172880396,,,,,,
550,13.489,547.04272,"Cyclodecasiloxane, eicosamethyl-",,,,504.10764,,,C20 H60 O10 Si10,,,,,,,,,,,,,,,,,,,,,0.901,99.4,515,2333,298,,,6118350,4029199,15633451,25701488,9810118,17461295,5078,13474,16024,7013982,6629610,6357349,7688301,53195365,43007670,10199793,11122486,14237983,4699197,19517886,,,,,,
552,13.489,608.98913,Peak@13.493,,,,594.93732,,,,,,,,,,,,,,,,,,,,,,,,0,,,2333,,,,1187768,739852,2901806,4188777,1755517,2870393,,3043,2719,1356220,1234901,1180563,1383803,8515093,6975090,1684038,1830460,2531453,868517,3252294,,,,,,
551,13.491,608.9895,"(2R,4R)-2-phenyl-3-(2-prop-2-enoxyacetyl)-1,3-thiazolidine-4-carboxylic acid",,,,578.90527,,,C15 H17 N O4 S,,,,,,,,,,,,,,,,,,,,,0.573,10.3,659,2333,,,,251680,164472,695361,925622,402185,759308,,,,322036,256592,286143,345512,2049868,1633595,398284,431084,559388,,761573,,,,,,
